,subID,onset,target_child_name,target_child_age,meanF0,stdevF0,minF0,maxF0,Language,Contingency
4624,020621,Braunwald.wav,300844.0,020621,230.75187926287143,56.05606235122674,154.5608481437792,336.2607581998661,English,Non-contingent
4625,011103,Braunwald.wav,830023.0,011103,181.86687214909045,59.47969714489809,72.64152213942002,412.1252766531957,English,Non-contingent
4626,030125a,Braunwald.wav,585816.0,030125a,301.33163947595637,87.96405746142628,76.85388542797818,461.89272751807886,English,Non-contingent
4627,020225,Braunwald.wav,20080.0,020225,248.40983940470798,73.83960523373453,154.87779332950396,397.34629300640125,English,Non-contingent
4628,041000,Braunwald.wav,4332925.0,041000,247.12078226962402,63.39242365732041,105.74166273877647,421.133580861128,English,Non-contingent
4629,041000,Braunwald.wav,68991.0,041000,281.94874795765395,69.31602873000745,196.84846605381975,468.39761951337897,English,Non-contingent
4630,020526,Braunwald.wav,474420.0,020526,228.9481657871086,52.617386987577504,88.1897464502541,341.7319004782237,English,Non-contingent
4631,011019,Braunwald.wav,698794.0,011019,233.23260963937454,75.24955455629724,79.13142979935145,379.68936395153827,English,Non-contingent
4632,011109,Braunwald.wav,443976.0,011109,228.34009214472707,66.32285149572397,94.33150425508619,302.65011435715417,English,Non-contingent
4633,020221,Braunwald.wav,1588473.0,020221,186.44144147527035,48.529186818490416,68.55947022398813,320.14825905735694,English,Non-contingent
4634,010510,Braunwald.wav,5619.0,010510,356.75965896207884,164.48417147730953,71.63763612804627,634.3795608346793,English,Non-contingent
4635,011125,Braunwald.wav,626929.0,011125,276.59356788998923,101.19967188161412,203.86974560679926,550.1326475757124,English,Non-contingent
4636,011130b,Braunwald.wav,722073.0,011130b,291.57776598839774,142.16225152422373,139.7433507836614,537.0764424335371,English,Non-contingent
4637,010510,Braunwald.wav,361483.0,010510,239.13998027518375,41.849924967039925,188.3869486666654,334.7593556226554,English,Non-contingent
4638,040718c,Braunwald.wav,421082.0,040718c,242.67041481331066,81.8841260031655,79.3486526398679,427.8373111115898,English,Non-contingent
4639,020423,Braunwald.wav,561199.0,020423,217.10425010479844,87.56314227249848,130.34325290931184,529.0165582908238,English,Non-contingent
4640,011109,Braunwald.wav,263369.0,011109,200.65411582817342,52.16978855688239,78.69114071715734,236.73099679933193,English,Non-contingent
4641,010902,Braunwald.wav,1246768.0,010902,217.479313002895,84.73022057534965,131.77945473922134,369.01627355627784,English,Non-contingent
4642,010719,Braunwald.wav,338168.0,010719,96.2898449862923,27.2781785390623,81.48471113719158,165.59998447357955,English,Non-contingent
4643,020128,Braunwald.wav,653795.0,020128,321.08786903046627,58.16750075581847,227.96541885507614,612.1972129686436,English,Non-contingent
4644,020200,Braunwald.wav,498895.0,020200,210.47643623162094,83.6354616178048,67.13021660023159,418.0015320630399,English,Non-contingent
4645,011103,Braunwald.wav,850802.0,011103,300.6361823344824,107.88425716306826,178.08476132118315,510.9328977417062,English,Non-contingent
4646,020010,Braunwald.wav,261036.0,020010,200.93786622818203,74.71009445179477,164.42386783404746,383.29133331962646,English,Non-contingent
4647,060417,Braunwald.wav,871364.0,060417,218.12493203767767,66.36407692807815,109.43030962629759,338.3688306242888,English,Non-contingent
