transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id,contingent,chunk_index
2109,4124.416,4125.262,jmm xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,2
2109,4127.99,4129.054,t'uchlan t'uch xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4129.564,4130.81,t'uch,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4132.669,4133.09,t'uch xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4133.496,4134.249,ich'ame a wip i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4134.536,4136.188,t'uch i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4137.008,4137.831,t'u xajat i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4138.147,4138.789,pasa eki,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4139.829,4140.305,t'uch i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4140.175,4140.59,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4140.732,4142.039,t'uch,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,2
2109,4144.084,4145.275,t'uch i ich'a me a wip,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4145.568,4147.204,t'uch ay !,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4153.535,4154.707,t'uch,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4158.246,4159.437,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4160.525,4161.621,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,2
2109,4162.961,4164.367,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4165.939,4167.345,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4168.274,4170.998,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4172.003,4172.558,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4173.447,4173.687,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4181.718,4183.398,pasa ek'i ajk'otajan i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4184.903,4185.702,ajk'otajan a tukel,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4186.933,4191.428,xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4195.203,4196.464,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4197.15,4199.079,bii ek'a te jononetate,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,2
2625,18459.536,18459.768,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18462.638,18463.784,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18487.836,18489.94,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18490.289,18490.891,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,1,1
2625,18494.626,18495.9,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18496.478,18497.478,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18498.004,18498.806,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18500.627,18501.414,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18504.68,18505.098,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18506.688,18507.2,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18511.258,18511.594,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18517.734,18519.29,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18520.048,18520.406,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18521.774,18522.436,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18522.898,18523.264,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18527.855,18528.907,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18529.496,18530.878,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18531.62,18532.79,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18535.736,18536.858,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18539.668,18540.84,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18544.114,18545.65,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18546.816,18550.06,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18553.906,18554.442,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18556.106,18556.536,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18556.86,18557.286,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18557.888,18558.416,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18559.122,18559.646,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18561.578,18562.57,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18563.634,18563.958,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18565.066,18565.448,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18565.578,18566.258,we'a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,1,1
2625,18566.474,18566.836,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18574.877,18575.491,sumeba,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,18575.29,18577.34,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18579.028,18579.504,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18581.258,18583.268,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18589.21,18591.736,pajts'i boki,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,18598.35,18600.456,mailia ya stsakbetal stsek alal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,18605.206,18605.606,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18607.31,18610.852,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18652.22,18652.758,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18654.63,18655.236,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18656.852,18657.966,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18669.823,18671.087,mame' wa'kbe smal i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,18693,18694.157,tsa'alok'el te a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,18694.954,18695.188,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,1
2625,18696.302,18697.052,li ayixi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,1,1
2625,18702.69,18703.35,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27365,27366.601,xit xit xit xit xit xit xit,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27374.608,27374.951,as',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27377.598,27377.904,as',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27397.608,27399.156,vanessa,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27428.927,27430.374,keremek'i muy  ya'wali,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27431.826,27432.982,mach'a muysese  kerem,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27435.617,27437.045,tsakatal k'oxoxtee ya jwe,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27437.488,27438.596,chajpech xa' tsaktal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27439.846,27440.704,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27445.355,27446.376,ya xbulanixi paynili ju'uk,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27449.426,27450.46,ma' wochmene,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27456.814,27457.084,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,32,target_child,2625,0,2
2625,27466.499,27467.202,lejchanajilel,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27467.745,27468.337,jichuk a tsakatal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27469.19,27471.462,mame' cheplok'el mame' ja'uk te ay xwoch'a wu'un ya'tike,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27475.876,27476.92,aa jichuk xch'a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27495.677,27496.977,maxa' wuts'in maxa' ts'otlabe snuk',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27497.488,27498.577,ma' ts'otp'inbe snuk',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27511.32,27511.996,mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27526.856,27527.251,mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27532.755,27534.099,bistuk ya waysimal kalame,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27534.406,27534.846,jae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27537.482,27538.986,mame'bi ya'wixlan xan ita yutil cuartotike,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27543.275,27543.779,sale,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27626.628,27627.993,ach'ix,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27634.731,27635.029,la',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
3026,29265.48,29266.178,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29267.296,29268.834,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29281.234,29282.746,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29283.914,29285.668,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29284.557,29287.683,jamame ime bii a bislune kerem,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29288.048,29288.354,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29288.558,29289.409,jamame,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29317.649,29318.792,bii k'abu kasil,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29319.329,29320.006,bii,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29348.952,29356.226,xs xs xs xs xs xs xs xs xs xs xs xs,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29382.469,29384.142,jmm pasame a i dose,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29389.847,29393.064,mame' lom jakatikuk i mame' x'ocha wu'un ya'tik a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29394.792,29396.449,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29396.727,29397.818,jay jima yich' i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29399.948,29400.41,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29400.966,29401.63,siete,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29402.156,29403.026,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29403.406,29404.253,diecisiete,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29405.004,29406.524,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29406.525,29409.181,ya towan xnel yu'un areli te diecisietetoe,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29409.726,29409.888,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29410.22,29411.571,ya xlajix yu'un sok a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29412.93,29413.154,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29414.156,29418.319,ma chanjimuknax nujkul ya xla sok ts'imench'e,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29436.506,29438.597,biiek'ame tenax ya sts'usilae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29439.896,29440.584,mamá,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29447.116,29448.181,ala nena,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29449.59,29450.852,ala junax ila,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29468.14,29470.297,dame la casita,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29489.91,29492.572,k'axel jma sbolil soki k'a areli,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29498.733,29500.423,bistukxan imen kalame,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29501.935,29503,t'uxajat,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29514.966,29515.696,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,36,target_child,3026,0,1
3026,29517.395,29518.384,ja'ini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29884.867,29887.321,"maba ja'at ya k'abuat, alumno ya jk'abu",Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29893.304,29896.004,la' pasa li' ini ma bii xi atus i pasa kiltik,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29896.372,29897.454,bii xi sbabi ya atus,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29898.171,29899.029,pasa ini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29902.235,29904.843,k'eja aba ach'ix majtek' p'ijat mene k'eja aba,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29908.961,29910.377,ban ta tsa',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29917.604,29918.046,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29921.397,29922.954,ban ta tsa',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29935.98,29937.828,ajk'oti,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29938.076,29939.497,yu'un ay amosoi ya kajk'oesanati,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29939.694,29942.482,yu'un bal amosoon,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
