"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","vcm@CHI","xds@FA1","FA1","mwu@CHI","File"
21013.368,21014.567,1.199,"N","A","banti <bajteki> [: bajtek'i] yyy?",,"8179.eaf"
21014.567,21015.476,0.909,"N",,,,"8179.eaf"
21017.178,21017.4,0.222,"N",,,,"8179.eaf"
21026.374,21026.678,0.304,"N",,,,"8179.eaf"
21109.559,21113.598,4.039,"N",,,,"8179.eaf"
21138.522,21141.636,3.114,"N",,,,"8179.eaf"
21145.874,21146.186,0.312,"N",,,,"8179.eaf"
21164.632,21166.902,2.27,"Y",,,,"8179.eaf"
21166.902,21168.115,1.213,"Y","T","binti?",,"8179.eaf"
21168.115,21168.495,0.38,,"T","binti?",,"8179.eaf"
21171.357,21173.428,2.071,,"T","manax i, binti ya pas imen ch'e?",,"8179.eaf"
21176.868,21177.586,0.718,"N",,,,"8179.eaf"
21178.35,21179.402,1.052,"N",,,,"8179.eaf"
21181.464,21183.096,1.632,"N",,,,"8179.eaf"
21183.498,21183.575,0.077,"N",,,,"8179.eaf"
21184.314,21187.332,3.018,"N",,,,"8179.eaf"
21195.649,21197.111,1.462,,"A","banti k'otek'i ti'chay?",,"8179.eaf"
21208.35,21209.224,0.874,"N",,,,"8179.eaf"
21209.688,21210.132,0.444,"N",,,,"8179.eaf"
21211.626,21213.826,2.2,"N",,,,"8179.eaf"
21214.998,21216.41,1.412,"N",,,,"8179.eaf"
21220.918,21221.24,0.322,,"A","ya to k'aniki waje?",,"8179.eaf"
21221.24,21221.51,0.27,"N","A","ya to k'aniki waje?",,"8179.eaf"
21221.51,21222.132,0.622,,"A","ya to k'aniki waje?",,"8179.eaf"
21223.6,21223.832,0.232,"N",,,,"8179.eaf"
21224.488,21224.67,0.182,"N",,,,"8179.eaf"
21227.591,21227.877,0.286,,"A","ay.",,"8179.eaf"
21229.505,21231.04,1.535,,"A","ay binti la?",,"8179.eaf"
21231.54,21232.098,0.558,,"A","ya jpech ta tek'el.",,"8179.eaf"
21232.098,21233.214,1.116,"N","A","ya jpech ta tek'el.",,"8179.eaf"
21233.214,21233.882,0.668,"N",,,,"8179.eaf"
21235.633,21235.769,0.136,"N",,,,"8179.eaf"
21242.921,21242.99,0.069,"N",,,,"8179.eaf"
21246.76,21246.934,0.174,"N",,,,"8179.eaf"
21267.978,21269.12,1.142,,"U","yyy.",,"8179.eaf"
21275.9,21276.43,0.53,"N",,,,"8179.eaf"
26680.686,26680.828,0.142,"N",,,,"8179.eaf"
26689.794,26690.244,0.45,"N",,,,"8179.eaf"
26690.734,26690.946,0.212,"N",,,,"8179.eaf"
26699.994,26700.338,0.344,"N",,,,"8179.eaf"
26701.444,26701.654,0.21,"N",,,,"8179.eaf"
26704.662,26707.504,2.842,"N",,,,"8179.eaf"
26709.484,26710.862,1.378,"L",,,,"8179.eaf"
26711.586,26711.728,0.142,"N",,,,"8179.eaf"
26719.194,26720.578,1.384,"N",,,,"8179.eaf"
26721.98,26722.504,0.524,"N",,,,"8179.eaf"
26724.843,26725.555,0.712,"N",,,,"8179.eaf"
26729.178,26729.817,0.639,"C",,,,"8179.eaf"
26731.464,26732.177,0.713,"N",,,,"8179.eaf"
26733.99,26734.574,0.584,"N",,,,"8179.eaf"
26735.134,26735.166,0.032,"N",,,,"8179.eaf"
26736.822,26737.614,0.792,"N",,,,"8179.eaf"
26737.928,26739.498,1.57,"N",,,,"8179.eaf"
26740.846,26741.978,1.132,"N",,,,"8179.eaf"
26742.636,26743.69,1.054,"N",,,,"8179.eaf"
26744.088,26745.328,1.24,"N",,,,"8179.eaf"
26746.406,26747.574,1.168,"N",,,,"8179.eaf"
26747.921,26748.209,0.288,"N",,,,"8179.eaf"
26748.6,26750.003,1.403,"Y",,,,"8179.eaf"
26750.482,26750.71,0.228,"N",,,,"8179.eaf"
26751.008,26751.114,0.106,"N",,,,"8179.eaf"
26752.2,26753.572,1.372,"N",,,,"8179.eaf"
26754.126,26754.279,0.153,"N",,,,"8179.eaf"
26754.548,26755.912,1.364,"N",,,,"8179.eaf"
26756.504,26757.312,0.808,"N",,,,"8179.eaf"
26757.606,26758.472,0.866,"N",,,,"8179.eaf"
26760.391,26760.896,0.505,"N",,,,"8179.eaf"
26765.318,26766.134,0.816,"N",,,,"8179.eaf"
26766.704,26766.918,0.214,"N",,,,"8179.eaf"
26769.19,26769.356,0.166,"N",,,,"8179.eaf"
26772.282,26772.4,0.118,"N",,,,"8179.eaf"
26772.571,26772.764,0.193,"N",,,,"8179.eaf"
26773.918,26774.344,0.426,"N",,,,"8179.eaf"
26776.37,26776.676,0.306,"N",,,,"8179.eaf"
26779.558,26782.946,3.388,"N",,,,"8179.eaf"
26790.25,26790.482,0.232,"N",,,,"8179.eaf"
26790.972,26791.092,0.12,"N",,,,"8179.eaf"
26791.986,26792.182,0.196,"N",,,,"8179.eaf"
26792.588,26793.324,0.736,"N",,,,"8179.eaf"
26793.612,26793.654,0.042,"N",,,,"8179.eaf"
26794.784,26795.156,0.372,"N",,,,"8179.eaf"
26795.598,26795.92,0.322,"N",,,,"8179.eaf"
26797.783,26798.094,0.311,"N",,,,"8179.eaf"
26799.116,26800.288,1.172,"N",,,,"8179.eaf"
26800.998,26801.366,0.368,"N",,,,"8179.eaf"
26801.892,26803.973,2.081,"N",,,,"8179.eaf"
26807.64,26807.911,0.271,"N",,,,"8179.eaf"
26814.54,26814.81,0.27,"N",,,,"8179.eaf"
26816.69,26816.882,0.192,"N",,,,"8179.eaf"
26818.466,26818.768,0.302,"N",,,,"8179.eaf"
26819.126,26820.128,1.002,"L",,,,"8179.eaf"
26820.492,26820.687,0.195,"N",,,,"8179.eaf"
26821.066,26821.626,0.56,"N",,,,"8179.eaf"
26822.063,26823.25,1.187,"N",,,,"8179.eaf"
26824.358,26825.668,1.31,"L",,,,"8179.eaf"
26826.02,26826.504,0.484,"N",,,,"8179.eaf"
26826.904,26829.149,2.245,"L",,,,"8179.eaf"
26829.69,26830.597,0.907,"N",,,,"8179.eaf"
26830.946,26831.66,0.714,"N",,,,"8179.eaf"
26833.134,26834.466,1.332,"N",,,,"8179.eaf"
26835.648,26836.673,1.025,"N",,,,"8179.eaf"
26837.292,26840.308,3.016,"N",,,,"8179.eaf"
26840.729,26841.822,1.093,"N",,,,"8179.eaf"
26842.058,26842.522,0.464,"N",,,,"8179.eaf"
26842.876,26843.068,0.192,"N",,,,"8179.eaf"
26844.486,26845.558,1.072,"N",,,,"8179.eaf"
26845.972,26846.79,0.818,"N",,,,"8179.eaf"
26847.052,26848.02,0.968,"N",,,,"8179.eaf"
26848.392,26849.632,1.24,"N",,,,"8179.eaf"
26850.986,26852.122,1.136,"N",,,,"8179.eaf"
26852.552,26853.702,1.15,"N",,,,"8179.eaf"
26854.04,26854.17,0.13,"N",,,,"8179.eaf"
26854.702,26855.659,0.957,"L",,,,"8179.eaf"
26856.236,26856.322,0.086,"N",,,,"8179.eaf"
26856.576,26858.676,2.1,"L",,,,"8179.eaf"
26859.35,26859.668,0.318,"N",,,,"8179.eaf"
26860.568,26862.222,1.654,"N",,,,"8179.eaf"
26871.274,26872.41,1.136,"N",,,,"8179.eaf"
26879.64,26879.812,0.172,"N",,,,"8179.eaf"
26884.864,26885.526,0.662,"N",,,,"8179.eaf"
26887.042,26887.274,0.232,"N",,,,"8179.eaf"
