transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id,contingent,num_tokens
3026,29884.867,29887.321,"maba ja'at ya k'abuat, alumno ya jk'abu",Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,10
3026,29893.304,29896.004,la' pasa li' ini ma bii xi atus i pasa kiltik,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,11
3026,29896.372,29897.454,bii xi sbabi ya atus,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,5
3026,29898.171,29899.029,pasa ini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29902.235,29904.843,k'eja aba ach'ix majtek' p'ijat mene k'eja aba,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,12
3026,29908.961,29910.377,ban ta tsa',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,3
3026,29917.604,29918.046,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29921.397,29922.954,ban ta tsa',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,3
3026,29935.98,29937.828,ajk'oti,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29938.076,29939.497,yu'un ay amosoi ya kajk'oesanati,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,7
3026,29939.694,29942.482,yu'un bal amosoon,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,4
3026,29943.327,29944.875,sale xan i ch'i joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,6
3026,29945.772,29946.592,ay,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29947.067,29954.277,xxxxxxxxx,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29960.918,29962.53,yu'un wan ay a-,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,5
3026,30006.982,30008.339,ba ay i bixi la tus i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,7
3026,30059.44,30062.525,ba ayi calculadorai ma xtun nixi calculadorai,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,7
3026,30063.377,30065.954,ba ay tsaka tal kiltik a teme jich alok' awu'un me bit'il lok',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,15
3026,30081.488,30082.365,xit,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,30096.689,30099.721,sale,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,30099.832,30101.886,tusa i ya jtus kiltik ek'a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,7
3026,30102.433,30103.701,pero ay me ya xlo'lowane ini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,7
3026,30104.969,30105.993,joo pasame i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,3
3026,30106.9,30110.726,jo'o walk'una tal li' ini ya jtsustik k'un tusaix a me yane ay,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,16
3026,30111.726,30112.702,mm mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,30113.569,30116.211,cuatro cieos quince ma quinceuk ini tey ai,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,8
3026,30123.746,30124.693,para,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,30134.839,30136.305,ba ay jayeb yajtalul ya xlok',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,6
3026,30137.5,30139.745,oo diez,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,30141.644,30142.896,uno mee li'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,4
3026,30143.61,30144.457,ja'i li'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,4
3026,30145.445,30146.627,uno mee li'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,4
3026,30146.878,30148.298,diez uno,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,30149.177,30151.754,tres maili kiltik li' a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,5
3026,30152.652,30155.129,ya jlok'tatik jilel ja'i bit'il la lok' tey ini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,12
3026,30157.692,30163.206,mm diez,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,30169.457,30171.457,ja' to awilo ta stusel i men bi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,8
3026,30171.966,30172.474,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
6216,18805.555,18806.515,oi!,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,18830.085,18832.256,ban lum ta amak'e ya kixlaik,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,7
6216,18832.256,18834.482,ch'enan me i ya la ya'iy tajimal ek!,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,10
6216,18836.183,18838.709,"a ya xtal moto ya'tik i ch'i, ja' ts'i la kaltikix nax",Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,15
6216,18838.993,18841.11,ila awili tajimali ba tsaka xan tal ek i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,9
6216,18897.658,18898.976,oi oi oi oi oi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,5
6216,18924.282,18926.281,"jo'o, maba ya xtal",Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,5
6216,18934.595,18936.251,"jo'o, ma xaxi'",Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,4
6216,18941.805,18945.085,"jo'o, ban me tsaka i pelotae",Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,7
6216,18951.459,18954.819,ma'yuk ya xtal bajtix ta chik'el,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,8
6216,18955.268,18956.804,la yich'ix chik'el,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,5
6216,18957.381,18958.18,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,18958.759,18959.336,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,18960.39,18961.36,ch'oja bel,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,3
6216,18961.52,18963.173,eso ba tajinan nix ai,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,5
6216,18966.668,18967.131,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,18970.587,18971.487,mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,1
6216,18972.476,18973.29,ay to,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
6216,18981.724,18983.237,ba tsaka xan ek'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,5
6216,18984.037,18985.514,chawok,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,18986.505,18987.778,chawok,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,1
6216,18988.02,18988.949,chawuk,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,18989.07,18989.678,chauk,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,19048.768,19049.869,ya xba jma,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,3
6216,19049.927,19051.09,aa ba maja,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,3
6216,19055.168,19056.487,pura ja,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
6216,19056.989,19057.949,ba maja i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,3
6216,19058.404,19059.052,jo'o,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
6216,19071.526,19072.165,jo'o,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
6216,23968.738,23969.338,jae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,23970.417,23971.441,ay gol,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
